Wikidata property ID,EDM property
http://www.wikidata.org/prop/P1382,
http://www.wikidata.org/prop/P1389,
http://www.wikidata.org/prop/P1412,
http://www.wikidata.org/prop/P1427,
http://www.wikidata.org/prop/P1436,
http://www.wikidata.org/prop/P144,
http://www.wikidata.org/prop/P1441,
http://www.wikidata.org/prop/P1529,
http://www.wikidata.org/prop/P1554,
http://www.wikidata.org/prop/P1559,
http://www.wikidata.org/prop/P1581,
http://www.wikidata.org/prop/P1598,
http://www.wikidata.org/prop/P1662,
http://www.wikidata.org/prop/P1695,
http://www.wikidata.org/prop/P172,
http://www.wikidata.org/prop/P1748,
http://www.wikidata.org/prop/P1849,
http://www.wikidata.org/prop/P1887,
http://www.wikidata.org/prop/P1920,
http://www.wikidata.org/prop/P1942,
http://www.wikidata.org/prop/P1945,
http://www.wikidata.org/prop/P1962,
http://www.wikidata.org/prop/P1968,
http://www.wikidata.org/prop/P1977,
http://www.wikidata.org/prop/P1990,
http://www.wikidata.org/prop/P2001,
http://www.wikidata.org/prop/P201,
http://www.wikidata.org/prop/P2014,
http://www.wikidata.org/prop/P2025,
http://www.wikidata.org/prop/P2042,
http://www.wikidata.org/prop/P2053,
http://www.wikidata.org/prop/P2079,
http://www.wikidata.org/prop/P21,
http://www.wikidata.org/prop/P210,
http://www.wikidata.org/prop/P2250,
http://www.wikidata.org/prop/P2283,
http://www.wikidata.org/prop/P2291,
http://www.wikidata.org/prop/P2297,
http://www.wikidata.org/prop/P2386,
http://www.wikidata.org/prop/P2388,
http://www.wikidata.org/prop/P2402,
http://www.wikidata.org/prop/P2418,
http://www.wikidata.org/prop/P243,
http://www.wikidata.org/prop/P2436,
http://www.wikidata.org/prop/P2505,
http://www.wikidata.org/prop/P2525,
http://www.wikidata.org/prop/P2526,
http://www.wikidata.org/prop/P2573,
http://www.wikidata.org/prop/P26,
http://www.wikidata.org/prop/P2610,
http://www.wikidata.org/prop/P2666,
http://www.wikidata.org/prop/P2699,
http://www.wikidata.org/prop/P271,
http://www.wikidata.org/prop/P2795,
http://www.wikidata.org/prop/P2813,
http://www.wikidata.org/prop/P2828,
http://www.wikidata.org/prop/P2848,
http://www.wikidata.org/prop/P287,
http://www.wikidata.org/prop/P2892,
http://www.wikidata.org/prop/P2982,
http://www.wikidata.org/prop/P2998,
http://www.wikidata.org/prop/P2999,
http://www.wikidata.org/prop/P3001,
http://www.wikidata.org/prop/P3003,
http://www.wikidata.org/prop/P3024,
http://www.wikidata.org/prop/P3041,
http://www.wikidata.org/prop/P3059,
