Wikidata entity,EuropeanaID
Q7478005,2020718/DR_39813
Q7478254,2020718/DR_40058
Q7475763,2020718/DR_450509
Q7477256,2020718/DR_468122
Q7477410,2020718/DR_47074
Q7478184,2020718/DR_506577
Q7474695,2020718/DR_514013
Q7476582,2020718/DR_514213
Q7474686,2020718/DR_514264
Q7478227,2020718/DR_514303
Q7477326,2020718/DR_517206
Q7476672,2020718/DR_517764
Q7477470,2020718/DR_522962
Q7477244,2020718/DR_523574
Q7478266,2020718/DR_525607
Q7478103,2020718/DR_526973
Q17189723,2020718/DR_526158
Q17187805,2020718/DR_526344
Q17189387,2020718/DR_9924
Q17195795,2020718/DR_18901
Q17195801,2020718/DR_18906
Q17195813,2020718/DR_18910
Q17195819,2020718/DR_18916
Q17195822,2020718/DR_18918
Q17195877,2020718/DR_18962
Q17195878,2020718/DR_18963
Q17195887,2020718/DR_18972
Q17195906,2020718/DR_18984
Q17195947,2020718/DR_19008
Q17195958,2020718/DR_19016
Q17195981,2020718/DR_19034
Q17195992,2020718/DR_19044
Q17196004,2020718/DR_19054
Q17196012,2020718/DR_19061
Q17196043,2020718/DR_19074
Q17196054,2020718/DR_19076
Q17196080,2020718/DR_19081
Q17195738,2020718/DR_19879
Q17195748,2020718/DR_19883
Q17195750,2020718/DR_19885
Q17195764,2020718/DR_19896
Q17195769,2020718/DR_19899
Q17195781,2020718/DR_19908
Q17201746,2020718/DR_21095
Q17202832,2020718/DR_37065
Q17202951,2020718/DR_37089
Q17201887,2020718/DR_46747
Q17203026,2020718/DR_506989
Q17203042,2020718/DR_508284
Q17203047,2020718/DR_508285
Q17203057,2020718/DR_508287
Q17203072,2020718/DR_508290
Q17201973,2020718/DR_508454
Q17203403,2020718/DR_511089
Q17203421,2020718/DR_511107
Q17203520,2020718/DR_511303
Q17203527,2020718/DR_511310
Q17203567,2020718/DR_511317
Q17195381,2020718/DR_514729
Q17202021,2020718/DR_515659
Q17202087,2020718/DR_522907
Q17195402,2020718/DR_9654
Q17195404,2020718/DR_9656
Q17195411,2020718/DR_9662
Q17195421,2020718/DR_9668
Q17195434,2020718/DR_9679
Q17195442,2020718/DR_9698
Q17195446,2020718/DR_9703
Q17195454,2020718/DR_9707
Q17195461,2020718/DR_9713
Q17195477,2020718/DR_9729
Q17203864,2020718/DR_10
Q17203882,2020718/DR_1001
Q17204056,2020718/DR_1022
Q17204142,2020718/DR_103
Q17204256,2020718/DR_1043
Q17204271,2020718/DR_1045
Q17204278,2020718/DR_1046
Q17204305,2020718/DR_1049
Q17204328,2020718/DR_1051
Q17204430,2020718/DR_1069
Q17204475,2020718/DR_1075
Q17204503,2020718/DR_108
Q17204670,2020718/DR_1104
Q17204675,2020718/DR_1105
Q17204693,2020718/DR_111
Q17204769,2020718/DR_1123
Q17205037,2020718/DR_1155
Q17205110,2020718/DR_1166
Q17205126,2020718/DR_1168
Q17233336,2020718/DR_1183
Q17233342,2020718/DR_1189
Q17233375,2020718/DR_1216
Q17233379,2020718/DR_122
Q17233389,2020718/DR_1229
Q17233390,2020718/DR_123
Q17233398,2020718/DR_1237
Q17233416,2020718/DR_1255
Q17233423,2020718/DR_1261
Q17233426,2020718/DR_1264
Q17233429,2020718/DR_1267
Q17233456,2020718/DR_1286
Q17233463,2020718/DR_1293
Q17233468,2020718/DR_1296
Q17233474,2020718/DR_1298
Q17233485,2020718/DR_130
Q17233521,2020718/DR_1309
